clearance_height,pitch,xgap,n,f_bifaciality,f_shading_pv,f_shading
1,3.42,3,11,0.16108363860831504,1.0419328058126955,0.8234026742547474
2,3.42,3,11,0.1665583502098966,1.043918339775046,0.8589727469486823
3,3.42,3,11,0.16769183651678607,1.0412953367940863,0.8582186335916563
4,3.42,3,11,0.1686453138205754,1.038705624805855,0.8609467014353012
5,3.42,3,11,0.16946290990148422,1.0394009912031226,0.8610984303265462
3,2.3,3,11,0.15488967653136373,1.0332957440895587,0.7959448738919574
3,2.8600000000000003,3,11,0.16286896008750024,1.0389075104479595,0.8289474810360912
3,3.42,3,11,0.16794906506528487,1.0415509977732165,0.8632950694592334
3,3.9800000000000004,3,11,0.17114972753916663,1.044089640497555,0.8801722497360635
3,4.54,3,11,0.17364312848804467,1.0435997468625915,0.8907940902383509
3,3.42,1,11,0.14538163260898368,1.0374755887030636,0.7275525255088299
3,3.42,2,11,0.15875139955695172,1.045031416879754,0.815535427406001
3,3.42,3,11,0.16799530650204753,1.039672573961384,0.8630815099434972
3,3.42,4,11,0.17262794718367858,1.0435581173886974,0.881982203604439
3,3.42,5,11,0.17605084657178857,1.0440689358914912,0.9044455369428069
3,3.42,3,1,0.18919983442393173,1.0478496032519196,0.9796306323451006
3,3.42,3,6,0.16924823389625232,1.041294141087353,0.8905590394673844
3,3.42,3,11,0.1683729990899599,1.0382999026317128,0.8587525481139803
3,3.42,3,16,0.16687913124219228,1.0427686992170764,0.8638499088493877
3,3.42,3,21,0.16652784415556043,1.0401757777002456,0.8604269151320085
