,shadings_ygap,shadings_xgap,bifacials_ygap,bifacials_xgap,pvshadings_ygap,pvshadings_xgap,lat,lon
0,,0.4190227571992433,,0.09816174355482406,,1.0793337149573892,36.786,3.065
1,,0.6163608017161076,,0.13145442822027747,,1.0922407953205397,36.786,3.065
2,0.43506827541760823,0.71333626008789,0.10141520537222525,0.15068190171011042,1.081167644100825,1.099195026081585,36.786,3.065
3,0.6132710258392955,0.7639724772294312,0.13515515374618395,0.16044716460963312,1.105876812191306,1.1050232985306019,36.786,3.065
4,0.7086822783283556,0.8037949129040408,0.1546403643557613,0.16860523590753984,1.1096929199642678,1.1047422700665042,36.786,3.065
5,0.7605013426873063,0.8346549039873529,0.16534133722564032,0.17233237460272946,1.115465875115074,1.104805041584835,36.786,3.065
6,0.7996806581541583,0.8557613481770175,0.17126783088006703,0.17600014302691797,1.1219668390887079,1.1086052422921673,36.786,3.065
7,0.8263314159362058,0.8684804523172747,0.17656165373729923,0.17808261368262054,1.1210385813189385,1.1122972040126187,36.786,3.065
8,0.8454262356897799,0.882055978682895,0.18000683023456246,0.18038868421419876,1.1245248698649235,1.1066995321740183,36.786,3.065
9,0.8592902283687099,0.8906209976540488,0.18202722518755415,0.18164248780042577,1.1255882749373949,1.1084351103590193,36.786,3.065
